Rule,Category,Example,Score
LIVE_FROM_OFF,Collocations,He lives from his brother’s money.,
LIVE_IN_ON_PLANET,Collocations,Not all creatures that live in the planet Earth use oxygen.,
LOCATED_ON_AT,Collocations,The company's name is Denver Inc. and it's located on 11056 Main street.,
LOG_IN,Commonly Confused Words,Please login before commenting.,
,,Your log in attempt was not successful.,
LOOK_AT_TO,Collocations,I suppose what makes me unusual is the fact that I can put on make up without looking at a mirror.,
LOOK_ATE,Possible Typo,Although I must admit when I look ate the paperback...,80
LOOK_WATCH,Commonly Confused Words,I am looking TV.,
,,I look TV every morning.,
,,I looked TV in the morning.,
,,She looks TV every morning.,
LOOSE_LOSE,Commonly Confused Words,I always loose the password.,
,,Who do I contact if I loose my passport?,
,,You can loose so much and gain so little.,
,,"You don't want to loose this job, do you?",
LOOSING_EFFORTRECORDSEASON,Possible Typo,The Yankees never had a loosing season.,80
LOSE_LIVES,Grammar,They lost their life in the line of duty.,50
LOSE_LOOSE,Commonly Confused Words,Spammer on the lose?,
,,What do you do if your tooth gets knocked lose?,
LOSE_LOSS,Commonly Confused Words,Feeling at a lose and frustrated.,
LOT_OF,Collocations,A lot people were late.,
LOT_S,Possible Typo,There was lot's of stuff.,80
LOTS_OF_NN,Grammar,I have got lots of book.,50
LUNCH_TO_FOR,Collocations,The lunch to the guests is ready.,
MAIN_FOCUS,Redundant Phrases,Redundancies are the main focus of my essay.,
MAJOR_BREAKTHROUGH,Redundant Phrases,It was a major breakthrough in genetic research.,
MAJORITY,Plain English,Majority of the world is covered with water.,
MAKE_AN_ATTEMPT,Plain English,We should make an effort to win.,
MAKE_DECISIONS_ABOUT,Plain English,The school board will make decision about the first day of school.,
MAKE_SINCE,Nonstandard Phrases,Something like 90 most likely never makes since.,
MAKE_US_OF,Possible Typo,He made us of the new tools.,80
MAN_MEN,Grammar,A men walked in to the room.,50
MANAGERIAL_REIGNS,Possible Typo,He handed over the managerial reigns of the project to the junior member.,80
MANGER_MANAGER,Possible Typo,He's our new project manger.,80
MANY_FEW_UNCOUNTABLE,Grammar,John eats as many food as Peter.,50
,,She has many money.,
MANY_KINDS_OF,Grammar,There are many kinds of book in the shop.,50
MANY_NN,Grammar,I have several book.,50
MANY_NN_U,Grammar,I have a few wine.,50
,,I have a number of wine.,
,,I have many red wine and a lot is happening this spring.,
,,I have many red wine.,
,,I have many wine.,
,,I have several wine.,
,,There are many wine and a lot is happening this spring.,
,,There is few wine and a lot is happening this spring.,
,,There is several wine and a lot is happening this spring.,
MARRIAGE_ANNIVERSARY,Commonly Confused Words,We celebrated our fifth marriage anniversary last year.,
MARRY_MERRY,Commonly Confused Words,Marry Christmas!,
MARRY_WITH,Collocations,Angela was married with a rich man.,
MASH_POTATOES,Possible Typo,His favorite food is mash potatoes and gravy.,80
MASS_AGREEMENT,Grammar,Marketing are bad for you.,50
,,"Marketing, for instance, are bad for you.",
,,She asked whether marketing are bad for you.,
,,"She asked whether marketing, for instance, are bad for you.",
,,She asked whether the dog eat.,
,,"She asked whether the dog, whose owner likes you, eat.",
,,She wants to know whether this room are big enough.,
,,"She wants to know whether this room, for example, are big enough.",
,,The dog eat.,
,,"The dog, whose owner likes you, eat.",
,,The marketing are bad for you.,
,,"The marketing, for example, are bad for you.",
MASSAGE_MESSAGE,Commonly Confused Words,There is an error massage.,
MASTERS,Possible Typo,His masters degree is excellent.,80
MAY_BE,Possible Typo,I paid (may be) an exorbitant price for this.,80
,,May be I don't understand.,
MAY_COULD_POSSIBLY,Redundant Phrases,That may possibly be the greatest blunder of all.,
MD_BE_NON_VBP,Grammar,This part must be replaces with caution.,50
MEAN_FOR_TO,Grammar,Does she know what she means for me?,50
,,This trophy meant a lot for me.,
MEAN_WHILE,Possible Typo,"Mean while, back on the farm...",80
MENTAL_TELEPATHY,Redundant Phrases,Do cats really use mental telepathy?,
MENTION_ABOUT,Collocations,"Please, consider about this.",
META_DATA,Possible Typo,Tika's library takes meta data into account.,80
MIGHT_HAS_WELL,Possible Typo,You might has well take off your shoes.,80
MIGHT_PERHAPS,Redundant Phrases,We might possibly go fishing.,
MINUETS,Commonly Confused Words,The main plaza and town is located ten minuets walking distance from the beach.,
MINUS_WELL,Possible Typo,We minus well break up.,80
MISS_VERB,Possible Typo,Did I miss understand you?,80
MISSING_ARTICLE,Grammar,You are good boy.,50
MISSING_COMMA_AFTER_INTRODUCTORY_PHRASE,Punctuation Errors,For years I have been travelling.,
MISSING_COMMA_AFTER_WEEKDAY,Punctuation Errors,We will meet Friday July 15.,
MISSING_COMMA_BETWEEN_DAY_AND_YEAR,Punctuation Errors,My birthday is October 18 1983.,
MISSING_COMMA_WITH_NNP,Punctuation Errors,"Please Tom, let us go.",
,,"Thank you Tom, for helping us.",
,,Tom thank you!,
MISSING_HYPHEN,Punctuation Errors,France has a 35 hour working week.,
,,He is her right hand man.,
,,Rudolph is a two year old reindeer.,
,,Rudolph is a two-year old reindeer.,
,,This is all about English speaking people.,
MISSING_NOUN,Grammar,The is the best day of my life.,50
MODAL_OF,Possible Typo,It should of been found last night.,80
,,It will of been discovered by tomorrow.,
MONEY_IS_NO_OPTION,Nonstandard Phrases,Money is no option when are you rich.,
MONTH_OF_XXXX,Nonstandard Phrases,February of 1995,
MORE_A_JJ,Grammar,I can give you more a detailed description of what's necessary.,50
MOST_COMPARATIVE,Grammar,Kyoto is a more older city.,50
,,Kyoto is a most older city.,
MOST_EVERYONE,Style,Most everyone saw him.,
MOST_POPULACE,Possible Typo,Chicago was the most populace city.,80
MOST_SOME_OF_NNS,Grammar,Most of students do their homework.,50
MOST_SUPERLATIVE,Grammar,Kyoto is the most oldest city.,50
MOTHER-IN-LOW,Commonly Confused Words,This is her mother in low.,
,,This is her mother-in-low.,
MOTIVATION_IN_TO,Collocations,It is very important for them because motivation in study is the best ways for them to get good mark and high spirit in study process.,
MUCH_COUNTABLE,Grammar,There are much children.,50
MUST_BE_DO,Grammar,"If you have after-school activities, the homework must be do first.",50
MUST_HAVE_TO,Grammar,I must to go shopping.,50
MUST_MOST,Commonly Confused Words,I do this must of the time.,
MUST_OF_THE_TIME_MOST_OF_THE_TIME,Possible Typo,It's true must of the time.,80
MUTE_POINT,Possible Typo,"It was a mute point, so we ignored it.",80
MUTUALLY_DEPENDENT_ON_EACH_OTHER,Redundant Phrases,"Well, they're mutually dependent on each other.",
MY_BE,Possible Typo,Something that my be interesting...,80
NAIL_ON_THE_HEAD,Possible Typo,She hit the nail on the hat.,80
NAMED_IT_AS,Collocations,They named it as Gilead.,
NATION_WIDE,Possible Typo,There was a nation wide epidemic.,80
NEAR_BY,Possible Typo,There were some stores near by.,80
NEAR_FROM_TO,Collocations,It is not very near from my job.,
NEED_TO_VBG,Possible Typo,We're going to hypothesizing about the origins of man.,80
NEEDNT_TO_DO_AND_DONT_NEED_DO,Grammar,They do not need change them.,50
,,They don't need change them.,
,,They need not to change them.,
,,They needn't to change them.,
NEEDS_FIXED,Style,My car needs fixed.,
NEGATE_MEANING,Redundant Phrases,The car was not fast enough to win the race.,
,,The car was not large enough for the tall man.,
,,The car was not small enough to fit through the tunnel.,
,,The list is not complete.,
,,The paragraph is not perfect.,
,,The rock is not steady.,
,,The student was not rational.,
NEITHER_NOR,Grammar,Neither the teachers or the students won.,50
NEVER_AT_ANY_TIME,Redundant Phrases,I was never at any time with that woman.,
NEW_COMER,Possible Typo,There was a new comer to the party.,80
NEW_XX,Redundant Phrases,He was a new recruit.,
NIB_NUB,Commonly Confused Words,This is the nib of the problem.,
,,try using raw cacao nubs.,
NIECE_NICE,Commonly Confused Words,I wish you a niece holiday.,
NIP_IT_IN_THE_BUTT,Nonstandard Phrases,We'd like to nip it in the butt right here.,
NO_COMMA_BEFORE_INDIRECT_QUESTION,Punctuation Errors,"I asked Tom, where he lives.",
NO_NOT,Possible Typo,She could no hear you.,80
NO_SPACE_CLOSING_QUOTE,Punctuation Errors,"“Good morning, Frank,”said Hal.",
NOBLE_PRIZE,Possible Typo,He was awarded the Noble Prize in literature.,80
NODT_DOZEN,Grammar,You need almost hundred examples.,50
NON_ACTION_CONTINUOUS,Grammar,He had been knowing it.,50
,,I am knowing it.,
,,She is knowing it.,
,,She was knowing it.,
NON3PRS_VERB,Grammar,Has you bought a ticket?,50
,,I works here.,
,,Is I crazy?,
,,Is you crazy?,
,,They works here.,
,,We doesn't believe so.,
,,What has you done?,
,,What is you doing?,
,,Why is I in love?,
,,You doesn't work hard enough.,
,,You works here.,
NOT_ABLE,Plain English,He was not able to join the meeting.,
NOT_ACCEPT,Plain English,He does not accept the proposal.,
NOT_AD_ALL,Commonly Confused Words,"No, not ad all.",
,,This is not true ad all.,
NOT_CERTAIN,Plain English,Future is not certain.,
NOT_JET,Commonly Confused Words,That is not jet decided.,
NOT_MANY,Plain English,Not many people know this.,
NOT_THE_SAME,Plain English,The taste is not the same.,
NOT_UNLIKE,Plain English,Sisters were not unlike.,
NOT_US1,Possible Typo,Please do not us dispose.,80
NOT_VERY_OFTEN,Plain English,It is not very often that a hotel exceeds your expectations.,
NOTE_WORTHY,Possible Typo,This was a note worthy achievement.,80
NOTHING_SUCH_AS,Grammar,There is nothing such as as a free lunch.,50
NOUN_AROUND_IT,Redundant Phrases,He didn't like the protesters around him.,
NOW,Possible Typo,No is the right time.,80
,,There no will be a park.,
,,There's no a new building.,
NOW_A_DAYS,Possible Typo,"Now a days, there isn't much hope.",80
NOW_AND_DAYS,Nonstandard Phrases,Money is becoming pretty tight now and days.,
NOW_CURRENTLY,Redundant Phrases,She is now currently the ambassador.,
NUMBER_OF_NNS,Commonly Confused Words,This tool will help you to reduce the number or errors.,
NUMEROUS_DIFFERENT,Redundant Phrases,I will read many different books,
NUT_NOT,Possible Typo,I'm nut sure.,80
O_CLOCK,Punctuation Errors,They meet at 2 o' clock.,
OBJECTIVE_CASE,Grammar,Give it to I.,50
OBTAIN,Plain English,We need to obtain visas.,
OBVIOUS_FOR,Collocations,It's obvious for me.,
OF_ANY_OF,Redundant Phrases,He was the worst of any of the dancers,
OF_CAUSE,Commonly Confused Words,Of cause all these things are relative.,
OFFERED_IN_AT,Collocations,"In addition, if people are in favor of women practicing combat sports, it would be beneficial to have combat sport sessions in schools as well as optional courses offered in universities.",
OFT_CHANCE,Possible Typo,"On the oft chance that you get home by nine, could you turn on the oven?",80
OLD_WISE_TAILTALE,Possible Typo,The story of the monster was only an old wise tail.,80
ON_ADDITION,Grammar,"On addition, ...",50
ON_BEHAVE,Commonly Confused Words,They act on behave of a user.,
ON_FACT,Collocations,"On fact, the people are fed up of so many elections.",
ON_FIRST_GLANCE,Grammar,On first glance it seems to be a good idea.,50
ON_GOING,Possible Typo,There is an on going investigation.,80
ON_IN_A_HOSPITAL_BED,Collocations,The patient is on a hospital bed waiting for surgery.,
ON_IN_A_MEETING,Collocations,I was on a meeting.,
ON_IN_CHARGE_OF,Collocations,Julie is the person on charge to the security.,
ON_IN_THE_AFTERNOON,Collocations,The meeting is on the afternoon.,
ON_IN_THE_CORNER,Collocations,The button is on the top left corner of the screen.,
ON_IN_THE_MIDDLE,Collocations,The button is on the middle of the screen.,
ON_OF_THE,Possible Typo,It's on of the loudest songs.,80
,,It's on of the most popular songs.,
ON_THE_CONTRAIRE,Possible Typo,"On the contraire, you've been following me home!",80
ON_THE_LAMB,Possible Typo,The criminals spent most of the summer on the lamb.,80
ON_THE_NOVEL,Collocations,The use of symbolism is an important writing technique that accounts a crucial contribution on the novel.,
ON_THE_OCCASION_OF,Plain English,I was congratulated on the occasion of my son's birthday.,
ON_THE_OTHER_HAND,Plain English,"It was quite a good bargain. On the other hand, do we really need one?",
ON_THE_SAME_TOKEN,Possible Typo,"On the same token, they believe you've cheated them.",80
ON_THE_SHELF,Possible Typo,She likes being of the shelf.,80
ON_TWO_SEPARATE_OCCASIONS,Plain English,I stayed here on two separate occasions.,
ON-GOING,Possible Typo,There is an on-going investigation.,80
ONCE_AND_A_WHILE,Possible Typo,My computer starts up only once and a while.,80
,,My computer starts up only once and awhile.,
ONE_AND_THE_SAME,Redundant Phrases,Santa Claus and Saint Nick are one and the same person.,
ONE_IN_THE_SAME,Possible Typo,Our town is a place where neighbours and friends are one in the same.,80
ONE_OF_THE_ONLY,Possible Typo,He's one of the only magicians in Providence.,80
ONE_ORE,Possible Typo,Type in one ore more words.,80
ONE_PLURAL,Grammar,I drew one hexagons on my paper.,50
ONE_THE_ONE_HAND,Possible Typo,"One the one hand, he was rich.",80
ONES,Possible Typo,One should always wash ones feet in the morning.,80
OPINION_POLE,Commonly Confused Words,Is it possible to add an opinion pole to my Myspace page?,
OPPOSITE_FROM_TO,Collocations,Their house is opposite from ours.,
OR_ALTERNATIVELY,Redundant Phrases,We can either do this now or alternatively leave it for tomorrow.,
OR_WAY_IT,Possible Typo,Or way that a very recent change in Qt?,80
ORDER_OF_WORDS_WITH_NOT,Grammar,She knows that can not you do it.,50
ORDINAL_NUMBER_SUFFIX,Semantic,This was my 1nd try.,
ORIGINALLY_BORN_IN,Redundant Phrases,I was originally born in Texas.,
ORIGINALLY_DISCOVERED,Redundant Phrases,He originally discovered gold.,
OTHER_THEN,Possible Typo,There was no one other then us at the campsite.,80
OTHER_WISE_OTHERWISE,Possible Typo,Other wise it's not true.,80
OUGHT_SAY,Grammar,We ought say the truth.,50
OUT_COME,Possible Typo,What was the out come?,80
OUT_GROW,Possible Typo,The little guy would soon out grow his clothes.,80
OUT_OF_PLACE,Punctuation Errors,This is an out of place word.,
OUT_OF_SINK,Possible Typo,The teammates were so badly out of sink.,80
OUT_OF_THE_WAY,Punctuation Errors,An out of the way place.,
OUT_SIDE,Possible Typo,There were more tables out side.,80
OVER_EXAGGERATED,Redundant Phrases,I enjoy over exaggerating.,
,,I enjoy over-exaggerating.,
OVER_LOOKED,Possible Typo,There were several details we over looked.,80
OVER_LOOKING,Possible Typo,We were over looking the Grand Canyon.,80
OVER_RATED,Possible Typo,The movie was highly over rated.,80
OVER_SEAS,Possible Typo,He was stationed over seas.,80
OVER_TIME,Commonly Confused Words,I worked two hours of over time last week.,
,,No child shall be permitted or required to work over time.,
,,They worked over time to come up with a great idea.,
OVERNIGHT,Commonly Confused Words,She stayed over night.,
PARAGRAPH_REPEAT_BEGINNING_RULE,Style,(empty),
PARTICIPATE_TO_IN,Collocations,"They participate to many activities, which contains organize laboratory experiments, supervise students research, conducting many lectures and of course, writing textbooks.",
PASSED_PAST,Commonly Confused Words,I walked passed the school.,
PASSING_FAD,Redundant Phrases,Computers are just a passing fad.,
PASSIONATE_BY_ABOUT,Collocations,I am very passionated by my job.,
PASSIONATE_BY_ABOUT_2,Collocations,"I'm really passionate by the chocolate, it's my vocation.",
PASSIVE_VOICE,Style,A cake is being baked by him by tonight.,
,,He insisted that red should be used.,
,,He is said to be happy.,
,,He is said to have been happy.,
,,Her work will have been finished by tonight.,
,,Instruments are played by her.,
,,It is possible that the sky is blue.,
PAST_EXPERIENCE_MEMORY,Redundant Phrases,We know from past experience that weakness breeds contempt.,
PAST_TIME,Possible Typo,This was America's favorite past time.,80
PAWN_OFF,Possible Typo,Are you trying to pawn off that annoying client?,80
PAYED,Grammar,She payed her debts.,50
PEACE_PIECE,Commonly Confused Words,It's a peace of cake!,
PEAK_HIS_INTEREST,Possible Typo,The mere mention of Luxembourg was enough to peak his interest.,80
PEAK_PIQUE,Grammar,It peaked my interest.,50
PEDAL_TO_THE_MEDAL,Possible Typo,"To get by the police car, he put the pedal to the medal.",80
PEOPLE_VBZ,Grammar,Some people thinks that space is endless.,50
PER_SE,Possible Typo,Not a car lover per say…,80
PERIOD_OF_TIME,Redundant Phrases,Horses were absent throughout that period of time.,
PERS_PRON_CONTRACTION,Possible Typo,"Yes, I'l.",80
,,"Yes, we'r over here.",
,,"Yes, we'v discussed that.",
PERS_PRONOUN_AGREEMENT_SENT_START,Grammar,He were too old for that.,50
,,I are at the restaurant.,
,,I is at the restaurant.,
,,I were at the restaurant.,
,,They is too old for that.,
,,We is too old for that.,
,,You is too old for that.,
PERSONAL_OPINION_FRIENDSHIP,Redundant Phrases,"In my personal opinion, canaries are quite tasty.",
PERSONAL_PERSONNEL,Commonly Confused Words,For authorized personal only.,
,,He is the personal director.,
,,She's the director of personal.,
PERSPECTIVES_ABOUT_ON,Collocations,They have different perspectives about the topic.,
PHILLIPS_ARENA,Possible Typo,The team played at Phillips Arena.,80
PHOTO_WITH_HIS_CAT,Collocations,This is a photo with his cat.,
PHRASE_REPETITION,Grammar,Hepatology at the at the turn of centuries.,50
PIGEON_ENGLISH,Commonly Confused Words,Pigeon English is spoken widely across Nigeria.,
PIN_NUMBER,Redundant Phrases,Please input your PIN number to access.,
PLAY_GAMES,Collocations,I like to do soccer on the weekend.,
PLAY_WITH_FOR,Collocations,He plays regularly with that team.,
PLAYOFF_BIRTH,Possible Typo,The Patriots failed to earn a playoff birth.,80
PLAYS_A_FACTOR,Possible Typo,The goalie hardly plays a factor in the endgame.,80
PLEASE_NOT_THAT,Possible Typo,Please not that saying “Open Source” does not mean very much.,80
PLEASE_VBZ,Grammar,Please answers quickly!,50
PM_IN_THE_EVENING,Redundant Phrases,It's 1 P.M. at night.,
,,It's 1 PM at night.,
,,It's 5 P.M. in the afternoon.,
,,It's 5 PM in the evening.,
POINT_BEING_IS_THAT,Redundant Phrases,The point being is that Russia and Japan weren't even at war.,
POPULAR_AMONG_WITH,Collocations,John's popular among his friends.,
PORTLAND_TRAILBLAZERS,Possible Typo,On Tuesday the Nets play the Portland Trailblazers.,80
POSSESSIVE_APOSTROPHE,Possible Typo,Please grant me one days' leave of absence on March 1st.,80
,,This is a transcript of the presidents speech from March.,
,,This is a transcript of the presidents speech.,
POSSESSIVE_CASE,Grammar,Look at I eyes!,50
POSSIBILTY_POSSIBLE,Style,I did not have a possibility to check for possible errors.,
PRECEDENT_PRECEDENCE,Commonly Confused Words,Allow us to set a precedence.,
PREFER_OVER_TO,Collocations,"She much prefers overalls over skirts, because she enjoys playing in the mud",
PREFER_TO_VBG,Grammar,Some other people prefer to changing job.,50
PRICE_PRIZE,Commonly Confused Words,She won a price.,
,,That is the consolation price.,
,,That is the Nobel Price.,
PRIZE_PRICE,Commonly Confused Words,This is called prize spiral.,
PROFANITY,Style,Piss off!,
PROGRESSIVE_VERBS,Grammar,I am doubting these results.,50
,,I am surprising.,
PROSTRATE_PROSTATE,Grammar,He was diagnosed with prostrate cancer.,50
PROVE_PROOF,Commonly Confused Words,It's just a prove of concept.,
,,Their prove is wrong.,
PRP_MD_CD_IN,Grammar,We could one of them.,50
PRP_PAST_PART,Grammar,He done it.,50
,,You can been gone from Russia.,
,,You can gone from Russia.,
,,You could been from Russia.,
,,You used to been stupid.,
PRP_RB_NO_VB,Grammar,I accidentally the flashlight.,50
PUBIC_X,Commonly Confused Words,Pubic Affairs is a term for the formal offices of the branches of the US Department of Defense.,
PUNCTUATION_PARAGRAPH_END,Punctuation,(empty),
PUT_FOURTH_THEAAN,Possible Typo,He put fourth the proposal.,80
QUESTION_X_WHETHER,Plain English,The question as to whether it will do any good hasn’t been determined.,
,,There is a question of whether we need to be there or not.,
QUI_BONO,Nonstandard Phrases,Let me ask: qui bono?,
QUIET_QUITE,Commonly Confused Words,Be quite!,
,,I am quiet new to the school.,
,,That's quiet a list.,
R_SYMBOL,Typography,Windows (R),
RACK_BRAIN,Possible Typo,He wracked his brain about it.,80
RATHER_THEN,Commonly Confused Words,Are human beings any different than animals?,
,,Single Clicking rather then Double Clicking,
RATIO_RATION,Commonly Confused Words,The screen aspect ration...,
RATIONAL_RATIONALE,Commonly Confused Words,I fully understand the rational behind it.,
,,The rational for the policy is not well understood.,
RE_CENT,Possible Typo,The country has so far not changed its re cent five-year plan.,80
REALMS_OF_POSSIBILITY,Possible Typo,That is hardly outside the realms of possibility.,80
REAP_WHAT_YOU_SEW,Possible Typo,You always reap what you sew.,80
REASON_IS_BECAUSE,Grammar,The reason we were late is because there was an accident.,50
REASON_WHY,Redundant Phrases,The reason why I did that is simple.,
REFERRING_BACK,Plain English,The above-mentioned fact is important.,
REGARD_AS_BEING,Plain English,What industries do you regard as being highly competitive?,
REGARDING_TO,Grammar,Your action with regarding to the decision of the committee is not satisfactory.,50
REIGNS_OF_POWER,Possible Typo,Idi Amin held the reigns of power for far too long.,80
RELATIVE_CLAUSE_AGREEMENT,Grammar,There are others who likes sleeping until noon.,50
RELY_ON,Grammar,I rely my family to help me out.,50
REPEAT_AGAIN,Redundant Phrases,We made the song repeat again.,
REPERCUSSION_WITH_ON,Collocations,This action has repercussions with the entire community.,
RESPECTFUL_AGAINST,Collocations,Respectful against.,
RESPONSIBLE_OF_FOR,Collocations,I am responsable of marketing.,
RETURN_AT_HOME,Collocations,Return at home before midnight.,
RETURN_BACK,Redundant Phrases,We returned back home.,
RETURN_IN_THE,Collocations,"While we were returning in Montreal, I have been arrested for speeding.",
,,"While we were returning in the office, I have been arrested for speeding.",
RID_FROM_OF,Collocations,He got rid from the clutter.,
RIGHT_OF_PASSAGE,Possible Typo,The fire-ritual was a Cherokee right of passage.,80
RING_ITS_NECK,Possible Typo,I'm going to ring its neck.,80
RODROT_IRON,Possible Typo,She specialized in art done in rod iron.,80
ROLE_CALL,Possible Typo,The colonel always forgot to take role call.,80
ROLL_PLAYER,Possible Typo,Eddie House was mainly a roll player in the Celtics' championship run.,80
ROUTE_OF_THE_PROBLEM,Commonly Confused Words,The route of the problems is unknown.,
RUSTIC_COUNTRY,Redundant Phrases,She loved her rustic country kitchen.,
SAFE_HAVEN,Redundant Phrases,"They ran for the forest, searching for a safe haven.",
SAFETY_DEPOSIT_BOX,Possible Typo,He inherited his grandfather's safety deposit box.,80
SAID_SAD,Commonly Confused Words,She sad that she was tired.,
SALSA_SAUCE,Redundant Phrases,I enjoy eating salsa sauce.,
SAVE_SAFE,Possible Typo,It is not save to eat moldy food.,80
SAY_TELL,Commonly Confused Words,He said me the truth.,
,,He says me the truth.,
,,Say me the truth.,
SCENE_SEEN,Possible Typo,Similar to those scene in the park...,80
,,We watched the opening seen of the play.,
SCENT_SENT,Possible Typo,He scent the package.,80
,,His sent was strong.,
SCHROEDINGER,Possible Typo,The Schrodinger equation is a mathematical formulation for studying quantum mechanics.,80
SEE_SEA,Possible Typo,We have spent the first night at see.,80
SELF_ADMITTED,Redundant Phrases,"Springfield police arrest 'very dangerous, self-admitted gang member.'",
SEND_AN_EMAIL,Redundant Phrases,He was going to send an email to her.,
SENSE_OF_FALSE_HOPEPRIVACYSECURITY,Possible Typo,The members of the board were holding onto a sense of false security.,80
SENT_AN_EMAIL,Redundant Phrases,He sent an email to her.,
SENT_START_CONJUNCTIVE_LINKING_ADVERB_COMMA,Punctuation Errors,In addition he created a great rule for LanguageTool.,
,,Nonetheless you should set commas to enhance readability.,
SENT_START_DOE,Grammar,Doe he like me?,50
SENT_START_NUM,Style,12 soldiers were killed!,
SENT_START_THEM,Possible Typo,Them it became clear.,80
SENTENCE_FRAGMENT,Grammar,Even if the dog likes to bark.,50
,,In order that the dog guards the house.,
,,Provided that the dog guards my house.,
,,So even if the dog likes to bark.,
,,So if the dog likes to bark.,
,,"So, even if the dog likes to bark.",
,,"So, if the dog likes to bark.",
,,Though the dog likes to bark.,
SENTENCE_WHITESPACE,Typography,(empty),
SERIAL_COMMA_OFF,Punctuation Errors,"The pen, pencil, and book are on the desk.",
SERIAL_COMMA_ON,Punctuation Errors,"In addition to buses, trams and taxis, popular modes of transport are ...",
,,"She speaks Spanish, German and French.",
,,"Stocking, George, Jr. (Race, Culture and Evolution).",
,,"While air, water and food are necessary for life, we cannot so easily categorize the prerequisites of happiness.",
SHELL_WE,Commonly Confused Words,Shell we dance?,
,,We shell overcome.,
,,What shell I do?,
SHOE_IN,Grammar,He says some of his supporters thought he was a shoe-in.,50
SHORT_COMING,Possible Typo,Being on time was his biggest short coming.,80
SHORT_COMPARATIVES,Grammar,This example is more silly than the other.,50
SHORT_CUT,Possible Typo,I know a short cut.,80
SHORT_SUPERLATIVES,Grammar,This example is the most silly I have read.,50
SHOULD_BE_DO,Grammar,"If you have after-school activities, the homework should be do first.",50
SI_UNITS_OF_MEASURMENT_ADJECTIVES_PLURAL,Nonstandard Phrases,Use a 6-microfarads capacitor.,
SIDE_KICK,Possible Typo,He had a zany side kick.,80
SIDE_SITE,Commonly Confused Words,There is a construction side.,
SIGN_INTO,Grammar,When you sign into your e-mail account...,50
SIMILAR_LIKE_AS_SOMETHING,Collocations,the roof will be similar as a church.,
SINCE_FOR,Commonly Confused Words,I've lived in Barcelona since six years.,
SINGULAR_AGREEMENT_SENT_START,Grammar,The dog are released.,50
SINGULAR_VERB_AFTER_THESE_OR_THOSE,Grammar,Make sure that these two contains sufficient examples.,50
,,These includes the ring and the compass.,
,,Those two is nice.,
SINKING_HIP,Collocations,The idiom 'like rats fleeing a sinking hip is used in reference to people abandoning an enterprise once it seems likely to fail.,
SIT_ON_THE_COURT,Collocations,He is 67 year old and he sits on the court since 1998..,
SITE_SIDE,Commonly Confused Words,"On the positive site, there are some improvements.",
SKY_DIVING,Possible Typo,We went sky diving.,80
SLIGHT_OF_HAND,Commonly Confused Words,This is where the slight of hand comes in.,
SMALL_NUMBER_OF,Redundant Phrases,A small number of people were in the store.,
SMARTPHONE,Possible Typo,Susie wanted to get a smartphone to impress her boyfriend.,80
SNEAK_PEAK,Commonly Confused Words,Yahoo has released a sneak peak into Yahoo! BrowserPlus.,
SO_AS_TO,Redundant Phrases,The band practiced so as to increase their chances of success.,
SO_THEREFORE,Redundant Phrases,"I am me, the only me, so therefore I am unique, which in turn makes me special :)",
SOLICIT_FOR,Plain English,We are soliciting for suggestions.,
SOME_EXTEND,Commonly Confused Words,To the extend permitted by law,
,,"Yes it is, to a certain extend.",
SOME_FACULTY,Grammar,Three faculty support the change.,50
SOME_HOW,Possible Typo,"Some how, we made it out alive.",80
SOME_NN_VBP,Grammar,I think some language are more complicated than others.,50
SOME_OF_THE,Redundant Phrases,Some of the parks are in the area.,
SOME_WHAT_JJ,Possible Typo,Some what disappointed,80
SOME_WHERE,Possible Typo,"There's a place for us, some where.",80
SON_SOON,Possible Typo,It was too son.,80
SOONER_RATHER_THAN_LATER,Plain English,I believe that spring will be here sooner rather than later.,
SOUND_BYTE,Possible Typo,The politician gave an awful sound byte.,80
SOUSE_CHEF,Possible Typo,He gave most of his responsibility to his souse chef.,80
SPARE_OF_THE_MOMENT,Possible Typo,It was a spare of the moment decision.,80
SPARKING_WINE,Possible Typo,I love sparking wine.,80
SPEND_IT_FOR,Collocations,I spend it for my essence.,
SPILLING_ERROR,Commonly Confused Words,This is a spilling error.,
,,What is the correct spilling of 'Mississippi'?,
SPINAL_CHORD,Possible Typo,There was permanent injury to the spinal chord.,80
SQUARE_ROOT,Semantic,The square root of 9 is 3.,
SQUARED_SQUARE,Possible Typo,What is the definition of a squared mile?,80
STALE_MATE,Possible Typo,The game ended in a stale mate.,80
STAND_ALONE,Possible Typo,I wrote a stand alone application.,80
STAND_ALONE_NN,Possible Typo,This is a stand alone computer.,80
STATE_OF_THE_ART,Punctuation Errors,We present our state of the art solution.,
STATE-OF-THE-ART,Plain English,Many covet for a state of the art cell phone.,
,,Many covet for a state-of-the-art cell phone.,
STATIONARY_STATIONERY,Possible Typo,Save 50% on all office stationary.,80
,,The exact word which my doctor used was stationery.,
,,The office junior is in charge of filling the stationary cupboard.,
,,The office junior is in charge of ordering our stationary.,
STATUE_OF_LIMITATIONS,Possible Typo,"Luckily, his crime wasn't covered by the statue of limitations.",80
STEPS_TO_DO,Collocations,There are some steps to do.,
STOCK_AND_TRADE,Possible Typo,Swords and knives are their stock and trade.,80
STOP_HIM_OF_FROM,Collocations,This stops us of achieving victory.,
